YEAR,WTI,Brent,Index,Constant (2021),Share GDP,Per Capita,USD$
1989,24.336221821011673,22.58944480078125,1.2394,671975.8997106261,0.05871206008046527,1288.8788464489892,398921412987.03217
1990,32.0464240389105,31.0001568203125,1.3066,644023.8949490314,0.056051752943879415,1289.5816039426918,424813961654.1487
1991,29.33287969921875,27.2352451342413,1.3617,568911.4975131354,0.04883429397763131,1176.1371699998485,407655913320.3391
1992,28.869574132295718,27.109065799610914,1.4031,599517.7793642461,0.04970466807682841,1264.766999446689,456054834918.18555
1993,26.63084256,24.520617151750915,1.4447999999999999,567433.7150394857,0.046043502950764446,1220.348333721558,457596252326.2773
1994,25.48854642857143,23.444885937743237,1.4822,537936.3083143987,0.04215264675177903,1174.81248164856,456642104800.0
1995,28.081812725099603,25.930016507812503,1.5238,502483.33403084596,0.038602457917389046,1115.7362904642462,450820950312.839
1996,34.696135125984256,32.42059086046509,1.5686000000000002,475151.0144399737,0.03554982206352185,1073.1386836563986,451695104889.78485
1997,33.08036926984128,30.64742153307388,1.6052000000000002,472693.01436252566,0.03405562244188548,1078.9573808893583,470592993959.66693
1998,23.50941909960159,20.727799776264554,1.6300999999999999,462019.499081769,0.032015584989699614,1057.4945219891986,474352669399.5645
1999,32.224867816733074,29.934555634241292,1.6658000000000002,463156.455653758,0.030856767832474617,1070.1742296566636,496566469964.86115
2000,52.308773588,49.06631400976563,1.7219,481079.64577900385,0.031122421469767913,1136.2223136874156,551156641659.2576
2001,46.000515648,43.27546471595338,1.7704,484986.8063557257,0.031238098026670255,1165.8337452641415,587428652956.9109
2002,47.098887552,45.00933023255816,1.7987,544547.527345158,0.034476180992877845,1317.4062105264964,680741647676.5344
2003,57.178441600000006,53.04849375,1.84,619785.0177142483,0.03827161044736226,1520.0405415373605,810579008038.5927
2004,78.40903012048193,72.2864115,1.8891,675516.1583504056,0.04016312736406917,1686.3038982038847,931325121502.7163
2005,110.59556001992033,106.46333145525287,1.9527,706629.6931947946,0.0409003487632585,1807.5045594147678,1041185498100.0
2006,133.13976994377512,131.304372375,2.0156,716812.0345955117,0.04041627236789691,1875.1238417646487,1125380026000.0
2007,149.99099016666665,150.09151521960771,2.0734,735939.3363088206,0.040796550810522025,1961.3117415371514,1222447612400.0
2008,214.54290800395256,209.3434813715955,2.1525,789474.2818840165,0.04463827356299886,2165.3105094491407,1413667290000.0
2009,132.92085657142857,132.32186580237155,2.1456,851597.6374230721,0.048855996801147765,2304.5986392781124,1514615515200.0
2010,173.32063771428574,173.36385966798431,2.1808,875941.8361648003,0.04922641677069957,2388.280676092437,1609441304000.0
2011,213.4060595873016,250.23609014342688,2.2492,865569.7352958408,0.04840173994902745,2414.3986854267227,1692046169600.0
2012,215.937048,256.38246969642773,2.2959,817491.8344853111,0.04477401218672666,2309.24647501624,1664998159500.0
2013,228.2503261904762,253.12001718379386,2.3295,754611.3104116109,0.04046678878670978,2146.7346816223717,1582263955500.0
2014,220.55728444444443,234.22498991304337,2.3672,708193.5523603263,0.036958946502656805,2032.7702692101307,1533446120800.0
2015,115.31639404761906,124.15661857707502,2.37,692111.487097985,0.03477845166336094,1975.297898266631,1502176244430.0
2016,103.90909126984127,104.96638132213437,2.4001,689987.6983340639,0.03413464208239652,1980.8815755256705,1535719448844.3
2017,124.521744384,132.83651009523814,2.4512,682878.4436791611,0.03309387532233762,1989.4886783456634,1585320774662.4001
2018,163.7861768674699,179.059560059761,2.511,703431.2572429649,0.033111585605977066,2086.5171081272774,1713735905400.0
2019,145.69064008,164.15433018774692,2.5565,743402.8542327986,0.03426194870158208,2231.608040964551,1877350691650.0002
2020,101.36678990079366,108.29855980314959,2.5885000000000002,778397.2,0.037178850641120156,2351.6318583215257,2014881152200.0002
2021,184.62567939043825,192.1499679328064,2.7097,767780.1340954978,0.03483215755787389,2405.034918823123,2169581460340.0002
