Date,Price in Contemporary Dollars,Price in 2021 Dollars
1908-12-31,0.72,20.65566450023999
1907-12-31,0.72,19.91796219665999
1906-12-31,0.73,20.94254872940999
1905-12-31,0.62,17.78682220853999
1904-12-31,0.86,24.672043708619988
1903-12-31,0.94,26.967117541979988
1902-12-31,0.8,23.83345903873845
1901-12-31,0.96,29.744156880345585
1900-12-31,1.19,36.87036113292838
1899-12-31,1.29,39.96871080796438
1898-12-31,0.91,28.194982042827586
1897-12-31,0.79,24.47696243278439
1896-12-31,1.18,36.56052616542478
1895-12-31,1.36,42.13755558048958
1894-12-31,0.84,25.025131990675373
1893-12-31,0.64,18.360590666879993
1892-12-31,0.56,16.065516833519993
1891-12-31,0.67,19.22124335438999
1890-12-31,0.87,24.958927937789987
1889-12-31,0.94,26.967117541979988
1888-12-31,0.88,25.245812166959986
1887-12-31,0.67,19.22124335438999
1886-12-31,0.71,20.368780271069987
1885-12-31,0.88,25.245812166959986
1884-12-31,0.84,24.098275250279986
1883-12-31,1.0,27.663836384249986
1882-12-31,0.78,20.83373057351792
1881-12-31,0.86,22.970523452853087
1880-12-31,0.95,25.374415442105157
1879-12-31,0.86,23.790899290454984
1878-12-31,1.19,31.784794080110668
1877-12-31,2.42,58.578173543649335
1876-12-31,2.56,61.966993500719965
1875-12-31,1.35,31.687667131049984
1874-12-31,1.17,26.654919998471453
1873-12-31,1.83,39.37486045358248
1872-12-31,3.64,78.31939456340996
1871-12-31,4.34,93.38081659483495
1870-12-31,3.86,78.68177464236153
1869-12-31,3.64,70.48745510706895
1868-12-31,3.63,70.29380825237921
1867-12-31,2.41,44.44656379069498
1866-12-31,3.74,65.83993059451498
1865-12-31,6.59,110.96806716569147
1864-12-31,8.06,132.83350202547953
1863-12-31,3.15,65.94460457002295
1862-12-31,1.05,27.110559656564995
1861-12-31,0.49,14.057327229329996
