DATE,DCOILWTICO
1986-01-01,15.0476892430278884
1987-01-01,19.2005118110236220
1988-01-01,15.9654085603112840
1989-01-01,19.6354863813229572
1990-01-01,24.5265758754863813
1991-01-01,21.5413671875000000
1992-01-01,20.5755642023346304
1993-01-01,18.4322000000000000
1994-01-01,17.1964285714285714
1995-01-01,18.4288047808764940
1996-01-01,22.1191732283464567
1997-01-01,20.6082539682539683
1998-01-01,14.4220717131474104
1999-01-01,19.3449800796812749
2000-01-01,30.3785200000000000
2001-01-01,25.9831200000000000
2002-01-01,26.1849600000000000
2003-01-01,31.0752400000000000
2004-01-01,41.5060240963855422
2005-01-01,56.6372509960159363
2006-01-01,66.0546586345381526
2007-01-01,72.3405952380952381
2008-01-01,99.6715019762845850
2009-01-01,61.9504365079365079
2010-01-01,79.4757142857142857
2011-01-01,94.8808730158730159
2012-01-01,94.0533333333333333
2013-01-01,97.9825396825396825
2014-01-01,93.1722222222222222
2015-01-01,48.6567063492063492
2016-01-01,43.2936507936507937
2017-01-01,50.8003200000000000
2018-01-01,65.2274698795180723
2019-01-01,56.9883200000000000
2020-01-01,39.1604365079365079
2021-01-01,68.1350996015936255
2022-01-01,94.9028685258964143
2023-01-01,.
